Date,Symbol,Prev Close,Open,High,Low,Last Price,Close,Average Price,volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,MACD,Signal_Line,histogram,up,down,RSI,SMA5,SMA10,SMA20,EMA,#NAME?,#NAME?,ADX14
28-10-2020,INFY,1090.85,1095.5,1104.75,1070.05,1077.5,1076.55,1086,7608413,8262761209,180559,3307306,43.47,26.4527281,35.66422076,-9.21149266,0,-14.3,46.25136612,1106.28,1117.89,1100.16,1092.07709,7.1,0,48.51927823
29-10-2020,INFY,1076.55,1070,1082,1060.1,1073,1074.85,1071.68,6935804,7432955729,140609,2710725,39.08,22.02133017,32.93564264,-10.91431247,0,-1.7,42.65010352,1095.44,1114.55,1103.49,1090.436415,9.95,0,46.64998074
30-10-2020,INFY,1074.85,1072,1083.6,1052.35,1060.4,1060.6,1064.99,8800436,9372342225,164698,3197426,36.33,17.16172974,29.78086006,-12.61913032,0,-14.25,32.67086767,1083.06,1107.86,1105.6375,1087.594852,7.75,0,46.1789613
02-11-2020,INFY,1060.6,1065,1079.95,1051.1,1068.7,1072.3,1066.94,7183119,7663961600,137700,3553906,49.48,14.09210855,26.64310976,-12.55100121,11.7,0,27.76911076,1075.03,1102.5,1106.8175,1086.138199,1.25,0,46.79603429
03-11-2020,INFY,1072.3,1072,1079.4,1057.5,1062,1062.55,1066.37,7204782,7682963163,172016,3503843,48.63,10.74876307,23.46424042,-12.71547735,0,-9.75,29.46206897,1069.37,1095.005,1107.1575,1083.891704,0,0,47.76629206
04-11-2020,INFY,1062.55,1068,1116,1066.8,1094.75,1093.95,1097.09,15702690,17227273082,307084,5588325,35.59,10.51168314,20.87372896,-10.36204582,31.4,0,46.1120174,1072.85,1089.565,1108.5275,1084.849637,0,36.6,44.97206393
05-11-2020,INFY,1093.95,1109.9,1123,1099,1104.95,1104,1108.49,9568890,10607037968,181645,4762858,49.77,11.00785489,18.90055415,-7.89269926,10.05,0,43.27418432,1078.68,1087.06,1109.0425,1086.673481,0,7,41.84465758
06-11-2020,INFY,1104,1108,1121.1,1091.7,1119,1112.75,1101.98,8807127,9705243124,154736,4236313,48.1,11.9691535,17.51427402,-5.54512052,8.75,0,46.38438273,1089.11,1086.085,1109.34,1089.156959,7.3,0,39.15413001
09-11-2020,INFY,1112.75,1129.3,1146,1121.15,1135.1,1136.55,1133.25,10160320,11514169318,202222,4148739,40.83,14.48448257,16.90831573,-2.42383316,23.8,0,49.75521773,1101.96,1088.495,1109.5625,1093.670582,0,24.9,35.56756186
10-11-2020,INFY,1136.55,1113.85,1113.85,1078,1093.9,1091.05,1093.14,15622869,17077941183,395983,7600330,48.65,12.66048703,16.05874999,-3.39826296,0,-45.5,37.47267162,1107.66,1088.515,1106.225,1093.421003,43.15,0,33.61392675
11-11-2020,INFY,1091.05,1096,1126.35,1087,1123.5,1122.5,1108.04,12514800,13866920725,254701,5591969,44.68,13.59598354,15.5661967,-1.97021316,31.45,0,48.64023251,1113.37,1093.11,1105.5,1096.190431,0,12.5,31.42272103
12-11-2020,INFY,1122.5,1128.1,1142,1113.75,1119.6,1117.75,1123.99,9180976,10319310973,196511,3958369,43.11,13.79506505,15.21197037,-1.41690532,0,-4.75,49.006484,1116.12,1097.4,1105.975,1098.243723,0,15.65,29.20928801
13-11-2020,INFY,1117.75,1120,1133,1117,1123.45,1124.2,1124.07,6363212,7152675713,105048,2589226,40.69,14.30836178,15.03124865,-0.72288687,6.45,0,52.49522192,1118.41,1103.76,1105.81,1100.71575,0,0,27.37027641
14-11-2020,INFY,1124.2,1137,1139.65,1131.1,1134,1133.45,1134.22,1136144,1288640516,41663,446947,39.34,15.28535083,15.08206909,0.20328174,9.25,0,59.54728821,1117.79,1109.875,1106.1875,1103.833297,0,6.65,27.72560723
17-11-2020,INFY,1133.45,1144.75,1145,1112.65,1125.25,1123.7,1122.2,12813968,14379842098,190186,7463366,58.24,15.09882827,15.08542092,0.01340735,0,-9.75,60.78700526,1124.32,1115.99,1105.4975,1105.725364,18.45,0,26.83370025
18-11-2020,INFY,1123.7,1128.5,1132.7,1101.45,1111.25,1110.55,1111.01,9839468,10931765779,168106,6252183,63.54,13.7316231,14.81466136,-1.08303826,0,-13.15,57.76086957,1121.93,1117.65,1103.6075,1106.184853,11.2,0,25.59310363
19-11-2020,INFY,1110.55,1100,1114.7,1093.8,1097,1096.75,1102.13,10092343,11123110241,179639,5447953,53.98,11.40311053,14.13235119,-2.72924066,0,-13.8,57.8741015,1117.73,1116.925,1101.9925,1105.286296,7.65,0,22.71341176
20-11-2020,INFY,1096.75,1106,1109,1091.1,1104.45,1103.35,1101.92,8063554,8885377126,199981,4002454,49.64,9.975323058,13.30094557,-3.325622512,6.6,0,56.916908,1113.56,1115.985,1101.035,1105.101887,2.7,0,17.85273002
23-11-2020,INFY,1103.35,1105,1144.8,1101.95,1138.5,1139.85,1128.46,10546363,11901155594,200221,4951543,46.95,11.65468817,12.97169409,-1.31700592,36.5,0,65.3861465,1114.84,1116.315,1102.405,1108.411231,0,35.8,14.08926243
24-11-2020,INFY,1139.85,1145,1154.9,1133.35,1140.15,1140.05,1142.6,8515426,9729744010,175511,2742945,32.21,12.85356752,12.94806877,-0.09450125,0.2,0,60.47727273,1118.11,1121.215,1104.865,1111.424447,0,10.1,13.38228441
