,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Date,MACD,Signal_Line,up,down,RSI,EMA10,EMA20,EMA50,EMA200,EMA250,EMA300,DMIN,DMIP,ADX14
09-03-2022,DEEPAKNTR,EQ,1888,1908,1984.2,1898.1,1978.95,1974.65,1955.32,782868,1.53076E+14,49475,210692,0.2691,09-03-2022,-105.9543541,-107.967967,86.65,0,41.78719916,1953.3271,2031.865196,2180.692298,2121.197317,2040.547813,1962.467382,0,84.4,60.05333763
10-03-2022,DEEPAKNTR,EQ,1974.65,2075,2090,2004,2011.25,2012.15,2045.24,828882,1.69526E+14,57448,261319,0.3153,10-03-2022,-94.60560244,-105.2954941,37.5,0,45.74776656,1964.022172,2029.987558,2174.082796,2120.112269,2040.321536,1962.797499,0,105.8,59.03096239
11-03-2022,DEEPAKNTR,EQ,2012.15,2010,2060,1989.9,2055,2050.65,2036.02,576754,1.17428E+14,36883,121105,0.21,11-03-2022,-81.56477878,-100.549351,38.5,0,49.3556848,1979.772687,2031.95541,2169.242294,2119.421102,2040.403834,1963.381236,14.1,0,57.53427668
14-03-2022,DEEPAKNTR,EQ,2050.65,2070.05,2238,2031.2,2231,2207.65,2168.35,2378873,5.15824E+14,118946,414492,0.1742,14-03-2022,-57.89387957,-92.01825672,157,0,60.38392629,2021.204925,2048.688228,2170.748479,2120.299002,2041.736473,1965.004284,0,178,54.64453672
15-03-2022,DEEPAKNTR,EQ,2207.65,2249,2272.75,2180,2191,2200.25,2231.34,2029388,4.52825E+14,107237,312144,0.1538,15-03-2022,-39.27885735,-81.47037685,0,-7.4,61.57218916,2053.758575,2063.122682,2171.905401,2121.094534,2042.999529,1966.567379,0,34.75,50.42728363
16-03-2022,DEEPAKNTR,EQ,2200.25,2222,2249.6,2215,2224.95,2222.85,2230.12,572603,1.27697E+14,36119,125514,0.2192,16-03-2022,-22.44396692,-69.66509486,22.6,0,61.03318689,2084.502471,2078.334808,2173.903228,2122.107026,2044.432601,1968.270253,0,0,47.02060792
17-03-2022,DEEPAKNTR,EQ,2222.85,2252,2254.95,2210,2225,2228.9,2232.72,1613841,3.60325E+14,51781,847945,0.5254,17-03-2022,-8.515845171,-57.43524492,6.05,0,73.59312828,2110.756567,2092.67435,2176.059964,2123.169643,2045.90246,1970.002013,0,5.35,44.72895838
21-03-2022,DEEPAKNTR,EQ,2228.9,2245.8,2294.3,2221,2265.05,2269.8,2275.49,805901,1.83382E+14,49562,178663,0.2217,21-03-2022,5.756225663,-44.79695081,40.9,0,69.76205974,2139.673555,2109.543459,2179.736044,2124.628651,2047.686504,1971.994026,0,39.35,42.99824661
22-03-2022,DEEPAKNTR,EQ,2269.8,2280,2285.55,2190,2250.3,2255.45,2234.6,1023348,2.28677E+14,52355,199986,0.1954,22-03-2022,15.72772018,-32.69201661,0,-14.35,68.23094425,2160.723818,2123.43932,2182.705219,2125.930356,2049.34199,1973.877454,31,0,41.06769813
23-03-2022,DEEPAKNTR,EQ,2255.45,2271,2280,2210.05,2220,2220.55,2232.78,792579,1.76966E+14,39550,258808,0.3265,23-03-2022,20.5768658,-22.03824013,0,-34.9,70.48626414,2171.601305,2132.687957,2184.189328,2126.871845,2050.706198,1975.516474,0,0,39.2454195
24-03-2022,DEEPAKNTR,EQ,2220.55,2210,2262,2204.5,2238,2240.35,2243.96,432601,9.7074E+13,25243,104346,0.2412,24-03-2022,25.72104695,-12.48638271,19.8,0,69.89134507,2184.101068,2142.941484,2186.391707,2128.000981,2052.217304,1977.276166,5.55,0,37.33922733
25-03-2022,DEEPAKNTR,EQ,2240.35,2238,2251.7,2210,2235,2228.35,2223.47,503809,1.1202E+14,27513,177533,0.3524,25-03-2022,28.501006,-4.288904968,0,-12,75.45506027,2192.146328,2151.075629,2188.037131,2128.999479,2053.620752,1978.94443,0,0,36.49227812
28-03-2022,DEEPAKNTR,EQ,2228.35,2230,2249.5,2147.5,2178,2174,2178.93,770790,1.6795E+14,43863,222137,0.2882,28-03-2022,26.01862627,1.77260128,0,-54.35,79.1295495,2188.846996,2153.258902,2187.486655,2129.447245,2054.579949,1980.240481,62.5,0,36.41452958
29-03-2022,DEEPAKNTR,EQ,2174,2190,2226.9,2185,2222,2220.55,2210.39,502107,1.10985E+14,25588,130049,0.259,29-03-2022,27.49062362,6.916205748,46.55,0,78.73995333,2194.611178,2159.667578,2188.783257,2130.35374,2055.902419,1981.837222,0,0,36.66416834
30-03-2022,DEEPAKNTR,EQ,2220.55,2231,2246.2,2211,2214,2216.5,2223.97,367772,8.17912E+13,23254,99649,0.271,30-03-2022,28.00753752,11.1344721,0,-4.05,74.38249824,2198.590964,2165.08019,2189.870188,2131.210917,2057.182081,1983.396443,0,19.3,37.45213859
31-03-2022,DEEPAKNTR,EQ,2216.5,2228.8,2279.9,2214,2242.95,2243.75,2252.44,875055,1.97101E+14,40499,191286,0.2186,31-03-2022,30.26714199,14.96100608,27.25,0,73.8418777,2206.801698,2172.572553,2191.983122,2132.330709,2058.668678,1985.126367,0,33.7,39.18298236
01-04-2022,DEEPAKNTR,EQ,2243.75,2240,2325.9,2236.65,2300,2300.4,2294.02,1008587,2.31372E+14,52864,238596,0.2366,01-04-2022,36.211651,19.21113506,56.65,0,74.78416195,2223.819571,2184.746595,2196.234764,2134.00304,2060.594824,1987.221208,0,46,41.69278703
04-04-2022,DEEPAKNTR,EQ,2300.4,2313.4,2333,2305,2315,2313.7,2317.38,529930,1.22805E+14,31813,164603,0.3106,04-04-2022,41.51733013,23.67237408,13.3,0,64.72303207,2240.161467,2197.027872,2200.841244,2135.79107,2062.611599,1989.390502,0,7.1,43.35352175
05-04-2022,DEEPAKNTR,EQ,2313.7,2330,2357.75,2314,2324,2326.5,2338.04,508211,1.18822E+14,32542,135049,0.2657,05-04-2022,46.22215189,28.18232964,12.8,0,67.26849952,2255.859382,2209.358551,2205.769038,2137.688671,2064.714295,1991.630433,0,24.75,43.709075
06-04-2022,DEEPAKNTR,EQ,2326.5,2334.15,2354,2310.45,2325.4,2329.35,2333.96,365534,8.53142E+13,22298,104804,0.2867,06-04-2022,49.60886807,32.46763733,2.85,0,65.39907461,2269.221313,2220.786308,2210.61535,2139.595749,2066.822946,1993.874416,3.55,0,44.4016268
07-04-2022,DEEPAKNTR,EQ,2329.35,2339,2372.95,2320,2330,2326.05,2342.18,551000,1.29054E+14,31992,153299,0.2782,07-04-2022,51.43368709,36.26084728,0,-3.3,64.15974348,2279.553801,2230.811421,2215.142199,2141.451015,2068.8885,1996.081563,0,18.95,43.30694143
08-04-2022,DEEPAKNTR,EQ,2326.05,2342,2391,2336.5,2366.1,2361.8,2369.78,693818,1.6442E+14,41340,185467,0.2673,08-04-2022,55.12910157,40.03449814,35.75,0,63.61349512,2294.507656,2243.286524,2220.893486,2143.643542,2071.222456,1998.511586,0,18.05,41.78703144
11-04-2022,DEEPAKNTR,EQ,2361.8,2368.65,2379.7,2277,2290,2287.6,2321.34,557908,1.29509E+14,40017,213183,0.3821,11-04-2022,51.47702914,42.32300434,0,-74.2,54.04148334,2293.251718,2247.506855,2223.509427,2145.075945,2072.94658,2000.432439,59.5,0,39.96406934
12-04-2022,DEEPAKNTR,EQ,2287.6,2287.6,2298,2201.6,2258.95,2258.25,2245.49,686120,1.54067E+14,51180,187579,0.2734,12-04-2022,45.68777547,42.99595856,0,-29.35,54.80622132,2286.887769,2248.530012,2224.871803,2146.202055,2074.423101,2002.145513,75.4,0,37.84809959
13-04-2022,DEEPAKNTR,EQ,2258.25,2270,2342,2268,2298,2297.45,2316.05,697679,1.61586E+14,47255,132595,0.1901,13-04-2022,43.75844254,43.14845536,39.2,0,56.93634597,2288.808175,2253.189058,2227.718007,2147.707009,2076.200208,2004.107669,0,44,35.26718205
18-04-2022,DEEPAKNTR,EQ,2297.45,2288.5,2288.5,2228,2265.5,2269.1,2245.07,707742,1.58893E+14,37197,355134,0.5018,18-04-2022,39.48664674,42.41609363,0,-28.35,54.76107022,2285.22487,2254.704386,2229.34083,2148.9149,2077.737258,2005.868415,40,0,31.96192042
19-04-2022,DEEPAKNTR,EQ,2269.1,2270,2306.1,2181.25,2191,2211.4,2253.14,373403,8.4133E+13,27347,129513,0.3468,19-04-2022,31.08695889,40.15026669,0,-57.7,54.33572919,2271.802167,2250.580159,2228.637268,2149.536642,2078.8023,2007.234074,46.75,0,27.86366509
