,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Date,MACD,Signal_Line,up,down,RSI,EMA10,EMA20,EMA50,EMA200,EMA250,EMA300,DMIN,DMIP,ADX14
23-07-2021,BAJFINANCE,EQ,6195.55,6189,6225,6140,6177.05,6180.9,6193.63,953739,5.9071E+14,80602,314033,0.3293,23-07-2021,52.14583173,65.33323271,0,-14.65,61.35391482,6111.304973,6083.830358,5915.46899,5505.620575,5455.568476,5419.659447,0,0,30.68305439
26-07-2021,BAJFINANCE,EQ,6180.9,6150,6198.3,6130,6159.15,6162.45,6164.87,733502,4.52195E+14,67640,241315,0.329,26-07-2021,52.64697145,62.79598046,0,-18.45,55.98293447,6120.604069,6091.317943,5925.15452,5512.156191,5461.200998,5424.594933,10,0,29.89098097
27-07-2021,BAJFINANCE,EQ,6162.45,6180,6327,6175,6231.1,6231.45,6265.46,2068528,1.29603E+15,133499,723850,0.3499,27-07-2021,57.94391031,61.82556643,69,0,52.10705737,6140.757875,6104.663853,5937.166107,5519.313343,5467.33844,5429.956096,0,128.7,27.97944063
28-07-2021,BAJFINANCE,EQ,6231.45,6257.9,6284,6157,6248,6262,6232.74,1149153,7.16237E+14,90974,409696,0.3565,28-07-2021,63.8706412,62.23458138,30.55,0,54.42675604,6162.801897,6119.648248,5949.904691,5526.70326,5473.670405,5435.484627,18,0,23.20889993
29-07-2021,BAJFINANCE,EQ,6262,6289.95,6430,6264.05,6394,6400.1,6348.02,1484664,9.42468E+14,113518,459968,0.3098,29-07-2021,78.80274499,65.5482141,138.1,0,68.25058185,6205.947007,6146.357939,5967.559409,5535.393775,5481.052314,5441.894031,0,146,22.18671025
30-07-2021,BAJFINANCE,EQ,6400.1,6416.85,6416.85,6212.2,6231.95,6228.1,6290.35,1406885,8.8498E+14,99238,729437,0.5185,30-07-2021,75.88285201,67.61514169,0,-172,54.95927943,6209.974824,6154.142897,5977.776687,5542.286374,5487.004885,5447.117991,51.85,0,21.18517517
02-08-2021,BAJFINANCE,EQ,6228.1,6270,6283.95,6170,6202.45,6200.5,6220.93,1012435,6.29828E+14,91701,367327,0.3628,02-08-2021,70.52871532,68.19785641,0,-27.6,52.7065073,6208.252129,6158.557859,5986.510935,5548.835764,5492.690105,5452.123852,42.2,0,19.83044927
03-08-2021,BAJFINANCE,EQ,6200.5,6215,6342,6206,6315.2,6331.9,6280.01,1091710,6.85595E+14,82903,410452,0.376,03-08-2021,76.01218412,69.76072195,131.4,0,58.31538534,6230.73356,6175.066634,6000.055604,5556.627448,5499.377037,5457.96954,0,58.05,18.46148089
04-08-2021,BAJFINANCE,EQ,6331.9,6343,6477.45,6315,6354,6359.15,6388.51,1632091,1.04266E+15,103919,424544,0.2601,04-08-2021,81.61590259,72.13175808,27.25,0,60.4791812,6254.082003,6192.598383,6014.137737,5564.612747,5506.227817,5463.957451,0,135.45,18.32983589
05-08-2021,BAJFINANCE,EQ,6359.15,6354,6355.5,6232,6248,6248.25,6276.51,866567,5.43902E+14,79005,378032,0.4362,05-08-2021,76.22946091,72.95129865,0,-110.9,55.01713996,6253.021639,6197.898537,6023.31861,5571.415107,5512.140345,5469.168697,83,0,17.94507526
06-08-2021,BAJFINANCE,EQ,6248.25,6285,6299.5,6211,6225,6224.3,6245.91,729789,4.5582E+14,52838,267210,0.3661,06-08-2021,69.23006118,72.20705115,0,-23.95,54.11480664,6247.799523,6200.412962,6031.200234,5577.911474,5517.814923,5474.18618,21,0,16.99442222
