Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Date,MACD,Signal_Line,up,down,RSI,EMA10,EMA20,EMA50,EMA200,EMA250,EMA300,-DM,+DM,ADX14
2021-03-17,SUPREMEIND,EQ,2035.65,2034.95,2034.95,2000.0,2019.95,2021.3,2011.51,58823,11832319015000.0,6983,46516,0.7908,2021-03-17,38.28548068893292,51.402170820348104,0.0,-14.350000000000136,50.28073793972729,2034.339301148391,2013.3272357137112,1920.830899211219,1752.9657334039568,1734.3443739698992,1721.1591659844619,0.0,0.0,33.583924449215566
2021-03-18,SUPREMEIND,EQ,2021.3,2045.0,2059.0,2020.6,2026.15,2046.9,2040.74,61228,12495038840000.0,11151,46454,0.7587,2021-03-18,36.60734684241879,48.44320602476225,25.600000000000136,0.0,57.98130398769377,2036.6230645759563,2016.5246418362149,1925.7747855166615,1755.8904524745644,1736.8348570458363,1723.323556908153,0.0,24.049999999999955,31.984188387765933
2021-03-19,SUPREMEIND,EQ,2046.9,2040.0,2040.0,1970.0,1975.25,2013.0,2014.75,188871,38052804795000.0,13604,140842,0.7456999999999999,2021-03-19,32.17111836617619,45.18878849304504,0.0,-33.90000000000009,48.218440063670876,2032.3279619257823,2016.1889616613373,1929.195382163067,1758.4487564300416,1739.0353761132,1725.2483173273679,50.59999999999991,0.0,30.32414037289509
2021-03-22,SUPREMEIND,EQ,2013.0,1990.0,2009.0,1963.0,1995.4,1996.15,1983.97,54179,10748968430000.0,9866,24918,0.45990000000000003,2021-03-22,26.984658809391703,41.547962556314374,0.0,-16.84999999999991,38.28061638280619,2025.7501506665492,2014.2804891221624,1931.82105345079,1760.8139429332252,1741.0840982158838,1727.0483285079167,7.0,0.0,29.4325139065178
2021-03-23,SUPREMEIND,EQ,1996.15,2000.0,2099.0,1968.0,1979.9,1982.75,1989.47,35177,6998342190000.001,6500,19869,0.5648,2021-03-23,21.54472999641939,37.54731604433538,0.0,-13.400000000000091,35.477843032568046,2017.9319414544493,2011.277585396242,1933.818267040955,1763.022261909014,1743.009722931295,1728.7473429364356,0.0,90.0,26.100477952246052
2021-03-24,SUPREMEIND,EQ,1982.75,1983.0,1998.5,1970.0,1975.25,1979.4,1985.03,26628,5285728665000.0,6328,17683,0.6641,2021-03-24,16.769917051823768,33.39183624583306,0.0,-3.349999999999909,31.911642122811926,2010.9261339172767,2008.2416248823142,1935.6057859805255,1765.1752742283275,1744.8933107963844,1730.4128090963266,0.0,0.0,23.188590072960157
2021-03-25,SUPREMEIND,EQ,1979.4,1979.4,2000.0,1973.9,1997.0,1997.05,1993.56,47374,9444273410000.0,12649,27508,0.5807,2021-03-25,14.245833781250894,29.562635752916627,17.649999999999864,0.0,37.114845938375325,2008.4032004777719,2007.1757558459033,1938.015363000897,1767.482485430036,1746.9025274434252,1732.1844847833943,0.0,1.5,20.487192472321755
2021-03-26,SUPREMEIND,EQ,1997.05,2015.0,2024.95,1990.0,2018.8,2014.25,2010.08,72690,14611254725000.0,6725,57398,0.7896,2021-03-26,13.47800975124369,26.34571055258204,17.200000000000045,0.0,40.15557939914162,2009.4662549363586,2007.8494933843886,1941.004956608705,1769.937883584961,1749.0327861888961,1734.058674253272,0.0,24.950000000000045,17.815971786419087
2021-03-30,SUPREMEIND,EQ,2014.25,2025.0,2045.0,1992.55,2045.0,2027.25,2010.14,103867,20878763030000.0,9484,83032,0.7994,2021-03-30,13.759879702078479,23.828544382481333,13.0,0.0,44.193942686405,2012.699663129748,2009.6971606811135,1944.3871151730696,1772.4982031512798,1751.2496564184667,1736.0067893745127,0.0,20.049999999999955,13.654114081701282
2021-03-31,SUPREMEIND,EQ,2027.25,2040.6,2050.0,1987.0,2040.25,2042.7,2027.48,22628,4587774175000.0,3626,12019,0.5312,2021-03-31,15.056388869232933,22.074113279831654,15.450000000000045,0.0,53.83801752795407,2018.1542698334301,2012.8402882352932,1948.2425224211845,1775.1867782443019,1753.5719699131403,1738.0446180165425,5.5499999999999545,0.0,12.251611657604837
2021-04-01,SUPREMEIND,EQ,2042.7,2049.9,2049.9,1985.55,2011.0,2020.8,2011.8,43191,8689184245000.0,8864,21566,0.4993,2021-04-01,14.153581078607658,20.490006839586854,0.0,-21.90000000000009,48.828010547905066,2018.6353116818973,2013.598356022408,1951.087913698785,1777.6306908985875,1755.7012769257844,1739.923391318758,1.4500000000000455,0.0,12.955795882017748
2021-04-05,SUPREMEIND,EQ,2020.8,2010.7,2022.0,1975.0,2017.65,2009.05,1994.48,22228,4433326155000.0,3564,8029,0.36119999999999997,2021-04-05,12.34763672893132,18.86153281745575,0.0,-11.75,41.15232833464879,2016.892527739734,2013.1651792583693,1953.3609366909895,1779.9333705911388,1757.7199918506785,1741.7116079877362,10.549999999999955,0.0,13.155076947881172
2021-04-06,SUPREMEIND,EQ,2009.05,2027.0,2028.0,1975.3,1980.0,1980.2,1985.46,26345,5230690585000.0,4033,15930,0.6047,2021-04-06,8.490584754354131,16.787343204835427,0.0,-28.84999999999991,47.451765562431746,2010.2211590597822,2010.02563837662,1954.4134489776175,1781.9260733713265,1759.4927409195975,1743.2962484662228,0.0,6.0,15.688256481327347
2021-04-07,SUPREMEIND,EQ,1980.2,1980.0,1995.0,1970.0,1974.0,1974.6,1974.76,107713,21270714960000.0,5838,95621,0.8876999999999999,2021-04-07,4.92519548932205,14.414913661732752,0.0,-5.600000000000136,37.220012560184195,2003.744584685276,2006.6517680550373,1955.2050784294756,1783.8432268701195,1761.206742983983,1744.8331504697694,5.2999999999999545,0.0,18.1201258970682
2021-04-08,SUPREMEIND,EQ,1974.6,1995.0,1995.0,1962.0,1979.95,1981.65,1976.3,67005,13242179600000.0,20756,42895,0.6402,2021-04-08,2.6380649199745676,12.059543913381116,7.050000000000182,0.0,41.43813431224362,1999.7273874697712,2004.270647287891,1956.2421341773395,1785.8114534684269,1762.9632629602063,1746.4066843536912,8.0,0.0,19.9602664180734
